timestamp,new,link,sentiment,sentiment_score,importance,importance_score,topic,topic_score
2020-03-27 10:43:42,Coronavirus Is Expediting iPhone Makers' Plans to Move Beyond China,https://finance.yahoo.com/news/coronavirus-expediting-iphone-makers-plans-065032719.html?.tsrc=rss,Negative,0.9534342885017395,High,0.546042263507843,Macro,0.5922050476074219
2020-03-30 08:12:40,Apple supplier Foxconn's profit down 24% in last quarter of 2019,https://finance.yahoo.com/news/apple-supplier-foxconns-profit-down-081240585.html?.tsrc=rss,Negative,0.8934435248374939,Low,0.4317319989204407,Macro,0.8155785799026489
2020-04-23 20:43:07,Dow Jones Today: Microscopic Gains Under Looming Covid-19 Data,https://finance.yahoo.com/news/dow-jones-today-microscopic-gains-204307206.html?.tsrc=rss,Positive,0.8033261895179749,High,0.4053433835506439,Macro,0.7816540598869324
2020-04-24 18:38:37,Strategist details which companies to invest in amid coronavirus,https://finance.yahoo.com/video/expert-details-companies-invest-amid-183837424.html?.tsrc=rss,Positive,0.40850111842155457,High,0.4775715470314026,Macro,0.7604922652244568
2020-04-27 17:28:42,Why nobody on Wall Street really cares that Apple is reportedly delaying new iPhone releases,https://finance.yahoo.com/news/nobody-on-wall-street-really-cares-that-apple-is-reportedly-delaying-new-i-phone-releases-172842206.html?.tsrc=rss,Negative,0.5514346361160278,Low,0.6347389817237854,Macro,0.6051414012908936
2020-04-27 19:28:37,Apple delays mass production of 2020 flagship iPhones: WSJ,https://finance.yahoo.com/video/apple-delays-mass-production-2020-192837024.html?.tsrc=rss,Negative,0.5848308801651001,High,0.6147273182868958,Macro,0.5867700576782227
2020-04-28 01:25:11,"Google, Starbucks, AMD earnings: What to know in markets Tuesday",https://finance.yahoo.com/news/google-starbucks-amd-earnings-what-to-know-in-markets-tuesday-012511427.html?.tsrc=rss,Positive,0.6072990894317627,High,0.571719229221344,Macro,0.6329531669616699
2020-05-07 01:56:00,Apple Maintains Lead After Smartwatches Defy Global Sales Slump,https://finance.yahoo.com/news/apple-maintains-lead-smartwatches-defy-015600948.html?.tsrc=rss,Negative,0.48398393392562866,High,0.5583359003067017,Macro,0.8706983327865601
2020-05-13 10:49:58,"Apple Encourages Chinese Tech Company To Rival Foxconn, Aims To Foster Competition",https://finance.yahoo.com/news/apple-encourages-chinese-tech-company-104958388.html?.tsrc=rss,Positive,0.9134691953659058,High,0.6141799688339233,Macro,0.8856981992721558
2020-05-14 08:56:38,Sony Says It Created World’s First Image Sensor With Built-in AI,https://finance.yahoo.com/news/sony-says-created-world-first-070026239.html?.tsrc=rss,Positive,0.6371057033538818,High,0.6288636326789856,Macro,0.814827561378479
